ORGANISME,ANNÉE ATTRIBUTION,TYPE D'AIDE,BÉNÉFICIARE,DESCRIPTION PROJET;MONTANT ATTRIBUÉ
ADAMI,2016,création,10:15 PRODUCTIONS,Pourquoi j'ai écrit la Bible,10 000.00
ADAMI,2016,création,LES FILMS NORFOLK,GRAIN DE POUSSIÈRE,10 000.00
ADAMI,2016,création,LES FILMS D'AVALON,9'58,6 800.00
ADAMI,2016,création,DUBLIN FILMS,Les Equilibristes,9 200.00
ADAMI,2016,création,ABELINA FILMS PRODUCTION,LES GRANDS ESPRITS,5 900.00
ADAMI,2016,création,LES PRODUCTIONS AU CLAIR DE LUNE,SEM,8 200.00
ADAMI,2016,création,FILMO SARL,Craché Dehors,9 400.00
ADAMI,2016,création,LES FILMS DE LA CAPITAINE,MEMORIA,6 900.00
ADAMI,2016,création,ECCE FILMS,After School knife fight,7 900.00
ADAMI,2016,création,YUKUNKUN PRODUCTIONS,PING PONG,5 600.00
ADAMI,2016,création,FILMS DU TROPIQUE,Betty,5 300.00
ADAMI,2016,création,SEDNA FILMS SARL,LES UNS CONTRE LES AUTRES,5 800.00
ADAMI,2016,création,LA COMPLEXE ARTICOLE DE DÉTERRITORIALISATION,1Time,7 000.00
ADAMI,2016,création,LES MUSICIENS DES MONTS DU REUIL ASSOCIATION,Le Soldat Magicien,8 000.00
ADAMI,2016,création,LABEL HERISSON,Dutilleux - Musique de chambre,6 000.00
ADAMI,2016,création,LABEL FOLIE,IAROSS - Souffle,8 000.00
ADAMI,2016,création,TCHEKCHOUKA,salouni,7 000.00
ADAMI,2016,création,HELICO,Les Primitifs,7 000.00
ADAMI,2016,création,ALTER K,KUMISOLO LP,6 000.00
ADAMI,2016,création,ABACABA EDITIONS,JULES ET LE VILAIN ORCHESTRA,6 000.00
ADAMI,2016,création,ACCORDS CROISES,Nishtiman Project,8 000.00
ADAMI,2016,création,BROKEN BACK INC,DEBUT ALBUM (TBC),10 000.00
ADAMI,2016,création,ENSEMBLE EDITIONS,Reggae Français,8 000.00
ADAMI,2016,création,KELTIA MUSIQUE,Red Cardell 2016,7 000.00
ADAMI,2016,création,ECHO PRODUCTIONS SARL,Mountain Men - Rock My Blues,6 000.00
ADAMI,2016,création,LES RÉ-CRÉATIONS DU POURQUOI,DE CALM LP3,6 000.00
ADAMI,2016,création,ASSOCIATION CULTURELLE EL MEDIODIA DE ALEPH,EPONYME,7 000.00
ADAMI,2016,création,NOTE A BENE,J'avais des rêves,6 000.00
ADAMI,2016,création,JARRING EFFECTS LABEL,Adami 3D - Mat3R dolorosa,6 000.00
ADAMI,2016,création,JARRING EFFECTS LABEL,Adami 3D - Erzatz - meian,8 000.00
ADAMI,2016,création,OXYDE ASSOCIATION,Moutin Factory Quintet - 2ème album,6 000.00
ADAMI,2016,création,LES DOIGTS DANS L'ZEN,MYSTERIUM TREMENDUM,6 000.00
ADAMI,2016,création,LES STUDIOS DE LA RUCHE,Black Lilys,8 000.00
ADAMI,2016,création,FEFEFARTWORKS,Tété Nouvel Album,9 000.00
ADAMI,2016,création,NO FORMAT!,Toto Bona Lokua 2,7 000.00
ADAMI,2016,création,ACCORDS CROISES,Abu Sadiya,7 000.00
ADAMI,2016,création,LES TROIS 8,PAUSE,6 000.00
ADAMI,2016,création,EPM - EDITION PRODUCTION MARKETING,TOUT'S MANIERES,9 000.00
ADAMI,2016,création,ASSOCIATION POUR LA CRÉATION ET L'ÉDITION EN LIBERTÉ,AU CROISEMENT DES CHEMINS,5 400.00
ADAMI,2016,création,LES COULEURS DU SON,Almot Wala Almazala,7 000.00
ADAMI,2016,création,ILONA RECORDS,Plus jamais pareil,6 000.00
ADAMI,2016,création,LABEL LABORIE,3D - LEFEVBRE,7 000.00
ADAMI,2016,création,LABEL LABORIE,3D - LAY,7 000.00
ADAMI,2016,création,LABEL LABORIE,3D - PASQUIER,7 000.00
ADAMI,2016,création,ADIPAC / PERCUSSIONS CLAVIERS DE LYON,Rigodon; monographie François Narboni,5 500.00
ADAMI,2016,création,ROSASOLIS,STABAT MATER,6 000.00
ADAMI,2016,création,ASSOCIATION LES LUMIÈRES,C P E  Bach - Airs & cantates,10 000.00
ADAMI,2016,création,WEDGE,BON VOYAGE ORGANISATION LP1,10 000.00
ADAMI,2016,création,ZAMORA LABEL,Jupiter Okwess - Troposphere XIII,8 000.00
ADAMI,2016,création,1D ZIK,L'ARCHITEXTE,6 000.00
ADAMI,2016,création,LE PHONOGRAPHE,JUNIORE,8 000.00
ADAMI,2016,création,NO FORMAT!,OUMOU,7 000.00
ADAMI,2016,création,DISCOGRAPH SARL,Krissmen - 'S'habituer à l'obscurité',10 000.00
ADAMI,2016,création,PIAS FRANCE SARL,Adami 3D : Dalcan,10 000.00
ADAMI,2016,création,ASSOCIATION POUR LE FESTIVAL MUSIQUES INTERDITES,Le Chant de la Terre,8 600.00
ADAMI,2016,création,PERCEVAL ASSOCIATION,Abélard et Héloïse,10 000.00
ADAMI,2016,création,STARWATCHER,Far Horizons,6 000.00
ADAMI,2016,création,MELISSE,Les Idées Heureuses,6 000.00
ADAMI,2016,création,LITTLE TRIBECA,L'Astrée et Stéphanie Varnerin 'Cantates inédites de Cesarini',8 000.00
ADAMI,2016,création,BENGALE RECORODS,JETAIMEMONAMOURLAVIEESTBELLE,7 500.00
ADAMI,2016,création,TA-DAH MUSIC,Paris Combo - Tako Tsubo (LP6),10 000.00
ADAMI,2016,création,LABEL CARAVAN ASSOCIATION,THE SECRET CHURCH ORCHESTRA,7 500.00
ADAMI,2016,création,COMPAGNIE DIWAN,HEND ZOUARI ALBUM KAHENA,6 000.00
ADAMI,2016,création,YOTANKA PRODUCTIONS SARL,Jungle Contemporaine,7 000.00
ADAMI,2016,création,BONEPLAK,le peuple de l'herbe album 8,8 000.00
ADAMI,2016,création,INFINE SARL,Enregistrements InFiné Arandel,10 000.00
ADAMI,2016,création,INFINE SARL,Enregistrements InFiné Danton Eprom,10 000.00
ADAMI,2016,création,INFINE SARL,Enregistrements InFiné Rone,10 000.00
ADAMI,2016,création,CRISTAL RECORDS/PUBLISHING SARL,THE VOLUNTEERED SLAVES 'ALL IN',6 500.00
ADAMI,2016,création,LAURENT CARRIER DIFFUSION,Eve Risser - White Desert Orchestra,7 000.00
ADAMI,2016,création,JAZZ CLASSIQUE ASIE,Les Permutants,6 000.00
ADAMI,2016,création,L'AMOROSO,Estro Poetico-armonico,10 000.00
ADAMI,2016,création,LES PASSIONS ORCHESTRE BAROQUE DE MONTAUBAN,Magnificat à la Chapelle Royale,10 000.00
ADAMI,2016,création,ENSEMBLE VOCAL SEQUENZA 9 3,VOCELLO,9 500.00
ADAMI,2016,création,LES MUSICIENS DE SAINT-JULIEN,Les Quatre Saisons et opus 10,8 000.00
ADAMI,2016,création,XVIII - 21 MUSIQUE DES LUMIERES,Or Vezahav,6 500.00
ADAMI,2016,création,GIE HORTUS DEVELOPPEMENT,Adami 3D Hortus 2016 - Violon Bidon !,6 700.00
ADAMI,2016,création,GIE HORTUS DEVELOPPEMENT,Adami 3D Hortus 2016 - Dans les Services de Santé,5 500.00
ADAMI,2016,création,PRESTIGE CONCERTS PRODUCTION,ADAMI 3D Fondamenta 2016 Yuri Bashmet,7 000.00
ADAMI,2016,création,PRESTIGE CONCERTS PRODUCTION,ADAMI 3D Fondamenta 2016 Levionnois / Bellom,6 000.00
ADAMI,2016,création,PRESTIGE CONCERTS PRODUCTION,ADAMI 3D Fondamenta 2016 / Zellickman,6 000.00
ADAMI,2016,création,LA TEBWA,A CLOSER PLACE,7 000.00
ADAMI,2016,création,ANTIPODES MUSIC PRODUCTIONS,Yépa - Les Rivières Sourdes (TBC),9 000.00
ADAMI,2016,création,LO'JO,Fonetik Flowers,10 000.00
ADAMI,2016,création,LA CURIEUSE,Disperato,7 000.00
ADAMI,2016,création,CABADZI THEATRE / LE CIRQUE ABSENT ASSOCIATION,BLIER,9 000.00
ADAMI,2016,création,YES HIGH TECH,LADYBUG AND THE WOLF,6 000.00
ADAMI,2016,création,VIETNAM,I WASN'T TRYING TO BE YOUR MAN,10 000.00
ADAMI,2016,création,BISONBISON,Karoline Rose,10 000.00
ADAMI,2016,création,MAXIMALIST RECORDS,Kid Wise - Les Vivants,10 000.00
ADAMI,2016,création,ENTREPRISE SOCIETALE D'ENTREPRENARIAT (LABEL ENTREPRISE),LP1 Fishbach,8 000.00
ADAMI,2016,création,MICROQLIMA,Isaac Delusion - LP2,8 000.00
ADAMI,2016,création,AIR RYTMO,L'Energie Positive des dieux,10 000.00
ADAMI,2016,création,LA FAMILIA,MARISCAL 'Plus le temps',8 000.00
ADAMI,2016,création,FULL RHIZOME,ADAMI 3D (Djivan Gasparyan Duduk Ensemble),7 000.00
ADAMI,2016,création,FULL RHIZOME,ADAMI 3D (Trio Moradi),7 000.00
ADAMI,2016,création,FULL RHIZOME,ADAMI 3D (Trio Lopez-Petrakis-Chemirani),7 000.00
ADAMI,2016,création,YOTANKA PRODUCTIONS SARL,KID FRANCESCOLI,8 500.00
ADAMI,2016,création,VLAD PRODUCTIONS,Aalma Dili - Pour une Poignée de Dinars,7 000.00
ADAMI,2016,création,SPHERE FRANCE,CONFUSION OF MIND,7 000.00
ADAMI,2016,création,MACHETTE PRODUCTION,Lolomis - Anamorphose,7 000.00
ADAMI,2016,création,LE TRITON,WAX'IN,6 000.00
ADAMI,2016,création,CONTINUO MUSIQUE,HIDDEN STONE,8 000.00
ADAMI,2016,création,ENSEMBLE VOCAL AEDES,Léon & Léonie,10 000.00
ADAMI,2016,création,GIL EVANS PARIS WORKSHOP,La Vie facile,9 000.00
ADAMI,2016,création,QUATUOR MANFRED,MANFRED Schumann/Tchaïkovski,7 000.00
ADAMI,2016,création,AMESON SARL,CARNET DE VOYAGE,7 000.00
ADAMI,2016,création,OUTHERE MUSIC FRANCE,Debussy; Ravel; Chausson,7 000.00
ADAMI,2016,création,03H50,Land,6 000.00
ADAMI,2016,création,LITTLE TRIBECA,MOSALINI TERUGGI CUARTETO - CHAMUYO,6 000.00
ADAMI,2016,création,PIL SARL,SECHERESSE,7 000.00
ADAMI,2016,création,DEAF ROCK RECORDS,What's Flowin' in my veins,7 000.00
ADAMI,2016,création,HEAVENLY SWEETNESS SARL,DALVA,7 000.00
ADAMI,2016,création,EPM - EDITION PRODUCTION MARKETING,LA VAGUE,8 000.00
ADAMI,2016,création,LAMASTROCK ASSOCIATION,A PESAR DE TODO,6 000.00
ADAMI,2016,création,LE TRITON,LA CHOSE COMMUNE,6 000.00
ADAMI,2016,création,CANTICUM NOVUM ASSOCIATION,ARARAT,7 500.00
ADAMI,2016,création,ENSEMBLE CELADON,No Time in Eternity,10 000.00
ADAMI,2016,création,ENSEMBLE DE CAELIS,Le Livre d'Alienor,6 000.00
ADAMI,2016,création,ENSEMBLE PERSPECTIVES,Songs of Experience,6 000.00
ADAMI,2016,création,LES AMIS DU QUATUOR DEBUSSY ASSOCIATION,Mellits,6 000.00
ADAMI,2016,création,LES ENTETES PRODUCTION,Kobiz Project,5 500.00
ADAMI,2016,création,COULEUR D'ORANGE,EL NINO LORCA,8 000.00
ADAMI,2016,création,OVASTAND,SOVAJ,6 000.00
ADAMI,2016,création,JOUR APRÈS JOUR APRÈS JOUR,AND THEN HE,10 000.00
ADAMI,2016,création,ZYRYAB PRODUCTIONS,CENT SOLEILS,7 000.00
ADAMI,2016,création,LA TEBWA,NOTE DE FRAIS,9 000.00
ADAMI,2016,création,YOTANKA PRODUCTIONS SARL,ELEMENTS,9 000.00
ADAMI,2016,création,IPANEMA MUSIC,Experiences,6 000.00
ADAMI,2016,création,TOUR'N'SOL PROD,EL DOMIN,10 000.00
ADAMI,2016,création,KALMIA PRODUCTIONS,Je crois que je vais partir,6 000.00
ADAMI,2016,création,STORA MUSIC,Eponyme,9 000.00
ADAMI,2016,création,LE BRUIT BLANC,LE NAUFRAGE,6 000.00
ADAMI,2016,création,GARVEY DRIVE RECORDS,L'Estère,7 000.00
ADAMI,2016,création,L'OREILLE EN FRICHE,African Salsa Big Orchestra,5 700.00
ADAMI,2016,création,PARIS 1900 EDITIONS,Raphaël - 10eme album,10 000.00
ADAMI,2016,création,VLAD PRODUCTIONS,Asa-I-Viata / Haidu,7 000.00
ADAMI,2016,création,DEAF ROCK RECORDS,Colt Silvers Orchestral,7 000.00
ADAMI,2016,création,TON ALL PRODUKSION,HISTOIRES DE LIENS,5 500.00
ADAMI,2016,création,DIGITAL MUSIC SOLUTIONS,Franck; Chausson,6 700.00
ADAMI,2016,création,IÉTO,L'instinct du Déséquilibre,10 000.00
ADAMI,2016,création,THEATRE DU PASSEUR,Fonds d'Urgence - L'Ecole des Femmes,9 300.00
ADAMI,2016,création,COMPAGNIE LA FIANCEE DU REQUIN,Madame Bovary,9 500.00
ADAMI,2016,création,LA ZAMPA,OPIUM,8 000.00
ADAMI,2016,création,ATMEN,Inversions Polaires,8 000.00
ADAMI,2016,création,PYGMOPHONE,VOODOO,6 000.00
ADAMI,2016,création,QUATUOR DIOTIMA,Saison anniversaire du Quatuor DIotima,10 000.00
ADAMI,2016,création,L'AMIRAL SOMNAMBULE,A l'heure où saigne la mangrove,6 400.00
ADAMI,2016,création,YOUZ,Wicked Sounds - The buttshakers,10 000.00
ADAMI,2016,création,YOTANKA PRODUCTIONS SARL,ELEMENTS,10 000.00
ADAMI,2016,création,FAR PRODUCTION,CLARIKA en tournée,9 000.00
ADAMI,2016,création,ASTERIOS SPECTACLES,Grand Blanc,9 000.00
ADAMI,2016,création,CAROTTE PRODUCTION,Barrio Populo Spectacle 2016,10 000.00
ADAMI,2016,création,AFTER EFFECTS,Smokey Joe and The Kid,8 000.00
ADAMI,2016,création,GRAND DAD'S GARDEN,Katel - Elégie,8 000.00
ADAMI,2016,création,LA CRIÉE,Rock'n'Roll Is Your Mission,6 000.00
ADAMI,2016,création,DECIBELS PRODUCTIONS,PONY PONY RUN RUN,9 000.00
ADAMI,2016,création,SIRVENTES,Du Bartàs 'Cinc' Tournée 2016,7 000.00
ADAMI,2016,création,LASTIKO ASSOCIATION - SAMUEL MATHIEU COMPAGNIE,Assassins,10 000.00
ADAMI,2016,création,CFB 451,Peuplé; dépeuplé; qui je fus,8 000.00
ADAMI,2016,création,OFFSHORE,SONNEURS,9 000.00
ADAMI,2016,création,SPAT'SONORE,Spat'Sonore inspire    Karl Naegelen et Frédéric Pattar,8 000.00
ADAMI,2016,création,P3A,Appassionato,10 000.00
ADAMI,2016,création,CIE LES TÊTES DE BOIS,La Tempête,7 000.00
ADAMI,2016,création,PLATEAU 31 / CIE MACK ET LES GARS,Fonds d'Urgence - Naissance d'un chef d'oeuvre,6 000.00
ADAMI,2016,création,COLLECTIF ARTISTISTIQUE MUSICAL OCCITANIE MÉDITERRANNÉE,Les Ogres de barback et le Bal Brotto Lopez,8 000.00
ADAMI,2016,création,VIRUS D'INTÉRÊT ARTISTIQUE,TOMBOY,9 000.00
ADAMI,2016,création,LABELMUSICASSOCIÉS,Tambours Croisés 5,10 000.00
ADAMI,2016,création,REG@RTS,SCARECROW,10 000.00
ADAMI,2016,création,COMPAGNIE SAKIDI,LE MAHÂBHÂRATA DES FEMMES,7 000.00
ADAMI,2016,création,ASSOCIATION HÔTEL EUROPA,CASABLANCA 41,10 000.00
ADAMI,2016,création,CONTOUR PROGRESSIF COMPAGNIE,L'Aveuglement,10 000.00
ADAMI,2016,création,MURAILLES MUSIC,De tout ce qui se frotte; se pince; se frappe,6 000.00
ADAMI,2016,création,GIANTSTEPS,Airelle Besson Quartet,8 000.00
ADAMI,2016,création,CHOEUR EN SCÈNE,Tu n'as rien vu à Ougarit,7 000.00
ADAMI,2016,création,EUROPA BAROCCA,Nocturne,8 000.00
ADAMI,2016,création,MTL Production,Karim Kacel,7 500.00
ADAMI,2016,création,LEBEAU & ASSOCIÉS,Icônes,8 000.00
ADAMI,2016,création,DIONYDIAC TOUR,AZAD LAB,10 000.00
ADAMI,2016,création,DES MESURES PRODUCTIONS,Thomas Verovski ELLE / LUI,9 000.00
ADAMI,2016,création,COME ON TOUR,Monty Picon - Ze Crazy Monty Show,8 000.00
ADAMI,2016,création,3D FAMILY PRODUCTION,LES AMAZONES D'AFRIQUE,10 000.00
ADAMI,2016,création,COMPAGNIE ALEXANDRA N'POSSEE,Reconstitution,8 500.00
ADAMI,2016,création,MARKOTAZ,Hors Sol - Grèn Sémé,10 000.00
ADAMI,2016,création,TARTINE,LABESS La Route,10 000.00
ADAMI,2016,création,LA CAVALE,De(s) personne(s),7 000.00
ADAMI,2016,création,LA VOUIVRE,FEU,6 000.00
ADAMI,2016,création,STARDOWN,ELECTRO DELUXE 'CIRCLE' TOUR 2016,9 000.00
ADAMI,2016,création,L'OREILLE DROITE,MABINOGION,8 000.00
ADAMI,2016,création,ASSOCIATION COBALT,METAMORPHOSES#2016,10 000.00
ADAMI,2016,création,EUROSCENE EVENEMENTS,FAIRE AUTREMENT,7 500.00
ADAMI,2016,création,CINEMATIQUE THEATRE,Famille Lambda,10 000.00
ADAMI,2016,création,RENDEZ-VOUS,SAMBA DE LA MUERTE,10 000.00
ADAMI,2016,création,HÉROS LIMITE,L'Abattage rituel de Gorge Mastromas,8 000.00
ADAMI,2016,création,ACHILLE TONIC PRODUCTIONS,RETRO FUTUR le présent a de l'Allure,10 000.00
ADAMI,2016,création,ASSOCIATION SELENOTE,Création Je est un nous,6 000.00
ADAMI,2016,création,3C SARL,FRERE ANIMAL 2,10 000.00
ADAMI,2016,création,LES MUSIQUES A OUIR,BRIGITTE FONTAINE & LES MUSIQUES A OUIR,7 000.00
ADAMI,2016,création,A LA ZIM,KHAROUB - HAMON MARTIN QUINTET & BASEL ZAYED,9 000.00
ADAMI,2016,création,BASE PRODUCTIONS,GASPARD ROYANT,10 000.00
ADAMI,2016,création,W SPECTACLE,MAISSIAT,10 000.00
ADAMI,2016,création,ALIAS,LESCOP,9 000.00
ADAMI,2016,création,BACO RECORDS,LA RUE RAISONNE TOUR,10 000.00
ADAMI,2016,création,ROSA M,Léonie est en avance (que l'amour doit donc être doux),10 000.00
ADAMI,2016,création,L'ARBRE,Conférence Complètement Contemporaine (XII),9 000.00
ADAMI,2016,création,LA NOUVELLE FABRIQUE,GAGARIN WAY,9 000.00
ADAMI,2016,création,RHIZOME,OSE (initialement intitulé 'Carla'),10 000.00
ADAMI,2016,création,ORIGAMI,REINES,10 000.00
ADAMI,2016,création,ANDO,COMBAT,10 000.00
ADAMI,2016,création,COMPAGNIE YMA,LES PETITIONS DU CORPS,9 000.00
ADAMI,2016,création,LA COMPAGNIE TANGRAM,Création OZMA 5tet 2016,6 000.00
ADAMI,2016,création,LES PRODUCTIONS DU VENDREDI,La femme de l'ombre,6 000.00
ADAMI,2016,création,P3A,La Belle Saison des Ebène,8 000.00
ADAMI,2016,création,P3A,Une belle saison avec Brahms,10 000.00
ADAMI,2016,création,POLYSONNANCE - ENSEMBLE LES TEMPS MODERNES,La couleur de Debussy à Murail,7 000.00
ADAMI,2016,création,LITECOX COMPAGNIE,AU DELA DES MOTS-,8 000.00
ADAMI,2016,création,COMPAGNIE 2MINIMUM,Care,10 000.00
ADAMI,2016,création,JAZZ EN FACE,DOLCE VITA,8 000.00
ADAMI,2016,création,LAURENT CARRIER DIFFUSION,tournée du White Desert Orchestra d'Eve Risser,10 000.00
ADAMI,2016,création,L'AFFICHE,SEA SONG(E)S,6 000.00
ADAMI,2016,création,COMPAGNIE VOQUE/REBOTIER,Chansons climatiques & sentimentales,10 000.00
ADAMI,2016,création,COMPAGNIE RL,ILIADE / BRISEE,10 000.00
ADAMI,2016,création,3C SARL,ROMAIN HUMEAU,9 000.00
ADAMI,2016,création,L'AUTRE CÔTÉ DU MONDE PRODUCTION,On ne vole pas qu'avec des Ailes,8 000.00
ADAMI,2016,création,ZOUAVE SPECTACLES,LISA LEBLANC,6 000.00
ADAMI,2016,création,LA ROUTE PRODUCTIONS,The 'Pulp' Blues Project de Bo Weavil Band,8 000.00
ADAMI,2016,création,FURAX,BEN MAZUÉ,10 000.00
ADAMI,2016,création,LA BARAKA COMPAGNIE - ABOU LAGRAA,DAKHLA,8 000.00
ADAMI,2016,création,LA SÉRÉNADE INTERROMPUE,Après coups; Projet Un-Femme 2,10 000.00
ADAMI,2016,création,1 DES SI,WORMHOLE,10 000.00
ADAMI,2016,création,I D A  COMPAGNIE,BAMBI; UN DRAME FAMILIAL,8 000.00
ADAMI,2016,création,NEOMME SARL,Mille Ponts,6 000.00
ADAMI,2016,création,MITIKI PRODUCTION,Création/Diffusion Blood Ties,7 000.00
ADAMI,2016,création,AMZER NEVEZ,EOG,6 000.00
ADAMI,2016,création,LES VISITEURS DU SOIR SARL,TRINTIGNANT / MILLE / PIAZZOLLA,8 000.00
ADAMI,2016,création,PRODUCTIONS 2M,LES AMANTS MAGNIFIQUES,10 000.00
ADAMI,2016,création,LA CAGE,Votre Faust,10 000.00
ADAMI,2016,création,FAR PRODUCTION,SEVERIN EN CONCERT,8 500.00
ADAMI,2016,création,LA GRANDE BOUTIQUE,Kreiz Breizh Akademi #6,8 000.00
ADAMI,2016,création,LES ANGES CHANTEURS,CHAMBRE 113,8 000.00
ADAMI,2016,création,MUS'AZIK,MOON GOGO,10 000.00
ADAMI,2016,création,ESPACE CULTUREL MÉDITERRANÉE /NOMAD'CAFÉ,TEMENIK ELECTRIC,7 000.00
ADAMI,2016,création,FAR PRODUCTION,JUNIORE,10 000.00
ADAMI,2016,création,ROUGE ELEA,ceci est la couleur de mes rêves,10 000.00
ADAMI,2016,création,TRACES,Soma,10 000.00
ADAMI,2016,création,LOLDANSE,AMAS,8 000.00
ADAMI,2016,création,COMPAGNIE DU KAIROS,La Chose commune,9 000.00
ADAMI,2016,création,LES Z'ARTS DE GARONNE,SO VERY BLUE,7 000.00
ADAMI,2016,création,THE BRIDGE,Escape Lane,5 500.00
ADAMI,2016,création,QUATUOR ANCHES HANTÉES,Pas si Classique,6 000.00
ADAMI,2016,diffusion du spectacle vivant,KANDIMARI,Série Series - The European Series Summit,10 000.00
ADAMI,2016,diffusion du spectacle vivant,CINÉ BOCAGE - FESTIVAL JEAN CARMET,Festival Jean Carmet,10 000.00
ADAMI,2016,diffusion du spectacle vivant,COURTS DEVANT,Festival Paris Courts Devant,7 000.00
ADAMI,2016,diffusion du spectacle vivant,SPPF - SOCIÉTÉ DES PRODUCTEURS PHONOGRAPHIQUES FRANÇAIS,Prix des Indés,10 000.00
ADAMI,2016,diffusion du spectacle vivant,RENCONTRES MUSICALES DE NOYERS,Festival des Rencontres Musicales de NOYERS,10 000.00
ADAMI,2016,diffusion du spectacle vivant,LES FEMMES S'EN MÊLENT,Les Femmes S'en Mêlent,8 000.00
ADAMI,2016,diffusion du spectacle vivant,AGDL PRODUCTIONS,LES PARADIS ARTIFICIELS,10 000.00
ADAMI,2016,diffusion du spectacle vivant,SONIC PROTEST ASSOCIATION,Sonic Protest 2016,10 000.00
ADAMI,2016,diffusion du spectacle vivant,ASSOCIATION L'AIR DES BALKANS,FESTIVAL WELCOME IN TZIGANIE,6 000.00
ADAMI,2016,diffusion du spectacle vivant,LES BAINS DOUCHES,L'AIR DU TEMPS,10 000.00
ADAMI,2016,diffusion du spectacle vivant,TRADENVIE,TRADENVIE 2016,8 000.00
ADAMI,2016,diffusion du spectacle vivant,MUSIQUE À BORD,Festival Les Nuits du Jazz à Vannes,6 000.00
ADAMI,2016,diffusion du spectacle vivant,JAZZ CAMPUS EN CLUNISOIS,jazz campus en clunsiois,10 000.00
ADAMI,2016,diffusion du spectacle vivant,LES MUSICALES DE COLMAR,Les Musicales de Colmar - Bach 2016,8 000.00
ADAMI,2016,diffusion du spectacle vivant,LA MUSE EN CIRCUIT,EXTENSION 16,10 000.00
ADAMI,2016,diffusion du spectacle vivant,SCIC (SOCIÉTÉ COOPÉRATIVE D'INTÉRÊT COLLECTIF) TURBUL'LANCE,Festival Jardin du Michel,6 000.00
ADAMI,2016,diffusion du spectacle vivant,PASSÉ MINUIT,Festival En Accords; Imprévisible et inattendu,10 000.00
ADAMI,2016,diffusion du spectacle vivant,CIMO & TO ASSOCIATION,Les Joutes musicales de Printemps,8 000.00
ADAMI,2016,diffusion du spectacle vivant,YEAH,YEAH!,8 000.00
ADAMI,2016,diffusion du spectacle vivant,ASSOCIATION PAROLES ET MUSIQUES,PAROLES ET MUSIQUES,10 000.00
ADAMI,2016,diffusion du spectacle vivant,BI-POLE,LE BON AIR,8 000.00
ADAMI,2016,diffusion du spectacle vivant,BOLONDOKHAZA ASSOCIATION,Festival TaParole,10 000.00
ADAMI,2016,diffusion du spectacle vivant,JAZZ A OLORON,Des Rives et Des Notes,8 000.00
ADAMI,2016,diffusion du spectacle vivant,WELL DONE SIMONE WDS PRODUCTION,Maisons-Laffitte Jazz Festival,6 000.00
ADAMI,2016,diffusion du spectacle vivant,OPUS 87,Festival 1001 Notes 2016,10 000.00
ADAMI,2016,diffusion du spectacle vivant,FESTIVAL DES FORETS,Festival des Forêts,10 000.00
ADAMI,2016,diffusion du spectacle vivant,ASSOCIATION DES AMIS DU PATRIMOINE CULTUREL DE FROVILLE,Festival de musique sacrée et baroque de Froville,10 000.00
ADAMI,2016,diffusion du spectacle vivant,ASSOCIATION POUR LE RAYONNEMENT DU VIOLONCELLE,Festival de Violoncelle de Beauvais,10 000.00
ADAMI,2016,diffusion du spectacle vivant,LES COMPAGNONS D'ORPHEE,Festival du Vexin 2016,9 000.00
ADAMI,2016,diffusion du spectacle vivant,BLUE HEAD,Festival Musique sur Ciel,8 000.00
ADAMI,2016,diffusion du spectacle vivant,LE CHIEN A PLUMES,LE CHIEN A PLUMES,10 000.00
ADAMI,2016,diffusion du spectacle vivant,AIDE AUX MUSIQUES INNOVATRICES,FESTIVAL MIMI,8 000.00
ADAMI,2016,diffusion du spectacle vivant,AU FOIN DE LA RUE,Au Foin De La Rue,8 000.00
ADAMI,2016,diffusion du spectacle vivant,JAZZ A PORQUEROLLES ASSOCIATION,JAZZ A PORQUEROLLES,9 000.00
ADAMI,2016,diffusion du spectacle vivant,CHARLIE FREE,CHARLIE JAZZ FESTIVAL 2016,6 000.00
ADAMI,2016,diffusion du spectacle vivant,ASSOCIATION DU FESTIVAL DE JAZZ A COUCHES,JAZZ A COUCHES 2016,6 000.00
ADAMI,2016,diffusion du spectacle vivant,JAZZ PYR' ASSOCIATION,JAZZ A LUZ 2016,6 000.00
ADAMI,2016,diffusion du spectacle vivant,SON AR MEIN,Petit festival de musiques en Trégor,8 000.00
ADAMI,2016,diffusion du spectacle vivant,MUSIQUE ET PATRIMOINE EN TARENTAISE,FESTIVAL DE TARENTAISE,6 000.00
ADAMI,2016,diffusion du spectacle vivant,AMIS DE VINTEUIL,Journées Musicales Marcel Proust,6 000.00
ADAMI,2016,diffusion du spectacle vivant,MUSIQUES VIVANTES,Osez le Classique !,6 000.00
ADAMI,2016,diffusion du spectacle vivant,LES ESTIVALES DU P A S,Les Musicales du Revermont,8 000.00
ADAMI,2016,diffusion du spectacle vivant,ÉTÉ MUSICAL EN SUD MORVAN,LE VENT SUR L'ARBRE,6 000.00
ADAMI,2016,diffusion du spectacle vivant,PARFUM DE JAZZ,PARFUM DE JAZZ,7 000.00
ADAMI,2016,diffusion du spectacle vivant,LES AMIS DE LA MUSIQUE À DEAUVILLE,Août musical de Deauville,7 000.00
ADAMI,2016,diffusion du spectacle vivant,JEUNES TALENTS,Festival Européen Jeunes Talents,10 000.00
ADAMI,2016,diffusion du spectacle vivant,MUSIQUE DE CHAMBRE EN NORMANDIE,Musique de chambre à Giverny 2016,10 000.00
ADAMI,2016,diffusion du spectacle vivant,IDEAC PRODUCTION,Les Nuits d'été,9 000.00
