ORGANISME,ANNÉE ATTRIBUTION,TYPE D'AIDE,BÉNÉFICIARE,DESCRIPTION PROJET;MONTANT ATTRIBUÉ
ANGOA,2016,création,FILMS DE FORCE MAJEURE,Aide à la production de Courts Métrages - Abymes de J. TELLE et R.PERRIN / Swamp de Paul WENNINGER / Les Chants d'à côté de Flavie PINATEL,1 750.00
ANGOA,2016,création,FILMS DU BAL,Aide à la production de Courts Métrages - Fata Morgana de Salomé LAMAS / Un été viril de Laurent LUNETTA,1 750.00
ANGOA,2016,création,FILMS DU BELIER,Aide à la production de Courts Métrages - Poussières de Clarisse HAHN / Isseï de Christophe NAGA-OLY / A brief history of Princess X de Gabriel ABRANTES,3 850.00
ANGOA,2016,création,FILMS DU CLAN,Aide à la production de Courts Métrages - Lorraine ne sait pas chanter d'Anna MARMIESSE / Larsen de Margot GALLIMARD,1 750.00
ANGOA,2016,création,FULL DAWA PRODUCTION,Aide à la production de Courts Métrages - Naissance d'une Etoile de James BORT / Kilt de Rakel STROM,3 150.00
ANGOA,2016,création,GULLIVER PRODUCTIONS,Aide à la production de Courts Métrages - Dans la forêt d'Adrien RICCIARDELLI / Terminus de Maxens TASSERIT,2 800.00
ANGOA,2016,création,HIPPOCAMPE PRODUCTIONS,Aide à la production de Courts Métrages - Néréides de Jordane OURDIN / La ballade de Pete le Bohème de Vincent DELBOS,1 750.00
ANGOA,2016,création,IKKI FILMS,Aide à la production de Courts Métrages - Negative Space de R. KUWAHATA et M. PORTER / Far from the Sheep de Marion LACOURT,1 750.00
ANGOA,2016,création,INSOLENCE PRODUCTIONS,Aide à la production de Courts Métrages - A l'Aube de Julien TRAUMAN /Déguste de Stéphane BAZ,2 100.00
ANGOA,2016,création,LA MER A BOIRE PRODUCTIONS,Aide à la production de Courts Métrages - Blind Sex de Sarah SANTAMARIA-MERTENS / Bijou bijou de Sébastien DE FONSECA,2 800.00
ANGOA,2016,création,LES VALSEURS,Aide à la production de Courts Métrages - Les Corps électriques d'Antoine JANOT / Arthur Rambo de Guillaume LEVIL / FC Zagora d'Yves PIAT,2 100.00
ANGOA,2016,création,MIYU PRODUCTIONS,Aide à la production de Courts Métrages - L'après-midi de Clémence de Lénaïg LEMOIGNE / Les maîtres silencieux de Naïs VAN LAER / Je sors acheter des cigarettes d'Osman CERFON,2 800.00
ANGOA,2016,création,NOODLES PRODUCTION,Aide à la production de Courts Métrages - L'occupant de Jonathan HAZAN / Poke de Mareike ENGELHARDT / Zones de Jean-Baptiste BONNET,4 550.00
ANGOA,2016,création,ORIGINE FILMS,Aide à la production de Courts Métrages - J'aime Eva Marsh de Rémy RONDEAU / Ride Sally Ride de Julien HOSMALIN / Les Jouvencelles de Delphine CORRARD / Le Père Noël est un super-héros de Pablo MUNOZ GOMEZ,4 200.00
ANGOA,2016,création,PAPRIKA FILMS,Aide à la production de Courts Métrages - La Bête de Filippo MENEGHETTI / La Méprise de Damien GAULLT / Cap ou pas Cap d'Enrika PANERO,2 450.00
ANGOA,2016,création,PRODUCTIONS AU CLAIR DE LUNE,Aide à la production de Courts Métrages - La Veilleuse de Florence SOBIESKI / SEM de Eric GUENOUN,1 750.00
ANGOA,2016,création,SEDNA FILMS,Aide à la production de Courts Métrages - Saranac lake de Maxence VASSILYEVITCH / Les uns contre les autres de Victor DEKYVERE / En attendant de Thomas HAKIM,3 850.00
ANGOA,2016,création,TOPSHOT FILMS,Aide à la production de Courts Métrages - Edith et Henry de Clémence LEBATTEUX / La Ligne d'horizon de Guillaume FABRELUCE,1 750.00
ANGOA,2016,création,YUKUNKUN PRODUCTIONS,Aide à la production de Courts Métrages - La peur du vide de Thomas SOULIGNAC / Tir croisé de Sacha BARBIN,2 800.00
ANGOA,2016,création,DARJEELING,Aide au programme de développement de projets d'ANIMATION - yetili,4 200.00
ANGOA,2016,création,MILLIMAGES,Aide au programme de développement de projets d'ANIMATION - cherry coco,2 800.00
ANGOA,2016,création,LE REGARD SONORE,Aide au programme de développement de projets d'ANIMATION - l'heure du conte S2,3 150.00
ANGOA,2016,création,BLUE SPIRIT PRODUCTIONS,Aide au programme de développement de projets d'ANIMATION - alice et lewis,3 850.00
ANGOA,2016,création,DIGITAL BANANA STUDIO,Aide au programme de développement de projets d'ANIMATION - leaflees,3 850.00
ANGOA,2016,création,GAUMONT ANIMATION,Aide au programme de développement de projets d'ANIMATION - roddy et les chevaliers de la table à trois pieds/laurel et hardy,3 850.00
ANGOA,2016,création,PASSION PARIS PRODUCTION,Aide au programme de développement de projets d'ANIMATION - monkey bizness,3 500.00
ANGOA,2016,création,LES PRODUCTIONS VIVEMENT LUNDI!,Aide au programme de développement de projets d'ANIMATION - dans la toile,4 200.00
ANGOA,2016,création,LES FILMS DU NORD,Aide au programme de développement de projets d'ANIMATION - les dinogromo,4 200.00
ANGOA,2016,création,MONDO TV FRANCE,Aide au programme de développement de projets d'ANIMATION - disco dragon,3 500.00
ANGOA,2016,création,XILAM ANIMATION,Aide au programme de développement de projets d'ANIMATION - coach if you can,4 200.00
ANGOA,2016,création,MOVING PUPPET,Aide au programme de développement de projets d'ANIMATION - joe et waldo,4 550.00
ANGOA,2016,création,BO TRAVAIL !,Aide à la production de DOCUMENTAIRES - A LA RECHERCHE DU DIO VI SALVI REGINA PERDU,1 400.00
ANGOA,2016,création,ANA FILMS,Aide à la production de DOCUMENTAIRES - THE LADY IN THE BOOK,2 100.00
ANGOA,2016,création,QUILOMBO FILMS,Aide à la production de DOCUMENTAIRES - VUKOKAR; L' IMPOSSIBLE RECONCILIATION,2 100.00
ANGOA,2016,création,SUPERSONIC FILMS,Aide à la production de DOCUMENTAIRES - L' ILE DES ABSENTS,2 100.00
ANGOA,2016,création,ANTOINE MARTIN PRODUCTIONS,Aide à la production de DOCUMENTAIRES - RUEE VERS L' OR VERT,2 450.00
ANGOA,2016,création,CFRT,Aide à la production de DOCUMENTAIRES - HERVE TELEMAQUE- VOYAGE EN HAITI,2 450.00
ANGOA,2016,création,EGO PRODUCTION,Aide à la production de DOCUMENTAIRES - LA PLUS BELLE COURSE DU MONDE,2 450.00
ANGOA,2016,création,ERE PRODUCTION,Aide à la production de DOCUMENTAIRES - LE MYSTERE HERISSON,2 450.00
ANGOA,2016,création,KUIV PRODUCTIONS,Aide à la production de DOCUMENTAIRES - VERHOEVEN VERSUS VERHOEVEN,2 450.00
